1000	400	40	2000	
       512	   512.061	   958.189	       2	       2
       142	   617.461	   683.171	       4	       5
       275	   432.356	   741.964	       1	       3
       134	   847.700	   982.881	       1	       3
       394	   454.059	   416.101	       4	       5
       228	    15.404	   531.583	       2	       4
       415	   873.068	   679.213	       4	       4
       517	   656.202	   512.875	       2	       1
        84	   823.003	   299.112	       4	       3
       159	   951.776	   105.385	       1	       1
       256	    50.912	   284.932	       1	       3
       427	   235.072	   768.853	       2	       2
       897	    63.343	   640.783	       1	       3
       176	   421.658	   801.331	       4	       5
       815	   863.829	   517.121	       2	       4
       565	    81.624	   232.100	       1	       5
       113	   473.112	   627.962	       3	       4
       555	   125.543	   304.005	       2	       1
       105	   772.886	    29.529	       3	       2
       435	   841.422	   903.331	       1	       4
       209	    43.291	   420.370	       3	       5
        79	   486.441	   426.131	       2	       1
       720	   239.411	   741.252	       3	       1
        33	   952.474	   948.458	       1	       4
       736	   943.893	    72.516	       4	       5
       116	   613.934	   172.701	       1	       2
        49	   973.487	   322.357	       3	       3
        41	   344.861	   248.424	       1	       5
       303	   897.851	   495.495	       2	       1
        48	   434.595	   824.460	       3	       5
       194	   235.815	   853.972	       3	       1
       865	   940.828	   595.830	       1	       1
       934	   684.218	   240.174	       4	       2
       430	    64.912	   186.493	       4	       1
       588	   870.425	   743.391	       2	       2
       788	   701.380	   237.214	       2	       5
       478	   604.927	   539.491	       4	       1
       906	   732.375	   749.281	       3	       2
        26	   253.439	   228.249	       1	       2
       808	   600.489	   174.501	       3	       1
       909	   814.619	    39.736	       2	       5
       518	    54.114	   147.569	       2	       1
       984	   130.511	   851.439	       2	       4
       886	   842.446	   104.636	       4	       5
       709	   618.346	   223.645	       4	       4
       575	   531.288	    32.757	       2	       5
       131	   248.291	   676.357	       3	       2
       762	   295.079	   231.703	       2	       1
       253	   872.686	   413.592	       2	       3
       896	   421.666	   139.301	       1	       2
       975	    64.430	   377.217	       1	       4
       827	   896.985	   424.437	       2	       5
       468	   203.381	   472.965	       1	       3
       885	   826.228	   422.842	       1	       2
       696	   881.771	   102.757	       2	       3
